Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/15,AQS,171630010,2,0.024,ppm,22,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/2/15,AQS,171630010,2,0.016,ppm,15,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/3/15,AQS,171630010,2,0.007,ppm,6,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/4/15,AQS,171630010,2,0.029,ppm,27,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/5/15,AQS,171630010,2,0.025,ppm,23,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/6/15,AQS,171630010,2,0.028,ppm,26,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/7/15,AQS,171630010,2,0.029,ppm,27,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/8/15,AQS,171630010,2,0.029,ppm,27,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/9/15,AQS,171630010,2,0.029,ppm,27,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/10/15,AQS,171630010,2,0.029,ppm,27,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/11/15,AQS,171630010,2,0.024,ppm,22,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/12/15,AQS,171630010,2,0.032,ppm,30,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/13/15,AQS,171630010,2,0.027,ppm,25,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/14/15,AQS,171630010,2,0.009,ppm,8,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/15/15,AQS,171630010,2,0.018,ppm,17,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/16/15,AQS,171630010,2,0.021,ppm,19,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/17/15,AQS,171630010,2,0.034,ppm,31,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/18/15,AQS,171630010,2,0.031,ppm,29,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/19/15,AQS,171630010,2,0.024,ppm,22,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/20/15,AQS,171630010,2,0.021,ppm,19,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/21/15,AQS,171630010,2,0.024,ppm,22,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/22/15,AQS,171630010,2,0.011,ppm,10,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/23/15,AQS,171630010,2,0.015,ppm,14,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/24/15,AQS,171630010,2,0.026,ppm,24,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/25/15,AQS,171630010,2,0.024,ppm,22,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/26/15,AQS,171630010,2,0.02,ppm,19,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/27/15,AQS,171630010,2,0.019,ppm,18,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/28/15,AQS,171630010,2,0.02,ppm,19,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/29/15,AQS,171630010,2,0.026,ppm,24,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/30/15,AQS,171630010,2,0.026,ppm,24,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
1/31/15,AQS,171630010,2,0.015,ppm,14,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
2/1/15,AQS,171630010,2,0.031,ppm,29,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
2/2/15,AQS,171630010,2,0.031,ppm,29,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
2/3/15,AQS,171630010,2,0.026,ppm,24,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
2/4/15,AQS,171630010,2,0.028,ppm,26,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
2/5/15,AQS,171630010,2,0.029,ppm,27,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
2/6/15,AQS,171630010,2,0.029,ppm,27,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
2/7/15,AQS,171630010,2,0.036,ppm,33,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
2/8/15,AQS,171630010,2,0.038,ppm,35,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
2/9/15,AQS,171630010,2,0.023,ppm,21,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
2/10/15,AQS,171630010,2,0.032,ppm,30,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
2/11/15,AQS,171630010,2,0.026,ppm,24,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
2/12/15,AQS,171630010,2,0.028,ppm,26,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
2/13/15,AQS,171630010,2,0.025,ppm,23,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
2/14/15,AQS,171630010,2,0.037,ppm,34,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
2/15/15,AQS,171630010,2,0.026,ppm,24,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
2/16/15,AQS,171630010,2,0.029,ppm,27,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
2/17/15,AQS,171630010,2,0.032,ppm,30,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
2/18/15,AQS,171630010,2,0.034,ppm,31,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
2/19/15,AQS,171630010,2,0.03,ppm,28,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
2/20/15,AQS,171630010,2,0.033,ppm,31,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
2/21/15,AQS,171630010,2,0.031,ppm,29,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
2/22/15,AQS,171630010,2,0.035,ppm,32,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
2/23/15,AQS,171630010,2,0.032,ppm,30,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
2/24/15,AQS,171630010,2,0.034,ppm,31,IEPA-RAPS TRAILER,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.61203448,-90.16047663
