"AQS_SITE_ID","POC","SAMPLE_DATE","DAILY_MAX_CONCENTRATION","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","DAILY_CRITERIA_IND","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CMSA_CODE","CMSA","MSA_CODE","MSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","CITY_CODE","CITY","UAR_CODE","UAR","LATITUDE","LONGITUDE","LOCATION","LANDUSE","ELEVATION"
"29-037-0003","1","04/01/2010","0.05300","ppm","45.00","24","100.0000","There are minimum daily summary criteria defined and they are met.","44201","Ozone","0000","Not in a CMSA","3760","Kansas City,MO-KS","29","Missouri","037","Cass","00000","Not in a city","0000","NOT IN AN URBAN AREA","38.759760","-94.579970","RURAL","INDUSTRIAL","314.00"
"29-037-0003","1","04/02/2010","0.04600","ppm","39.00","24","100.0000","There are minimum daily summary criteria defined and they are met.","44201","Ozone","0000","Not in a CMSA","3760","Kansas City,MO-KS","29","Missouri","037","Cass","00000","Not in a city","0000","NOT IN AN URBAN AREA","38.759760","-94.579970","RURAL","INDUSTRIAL","314.00"
"29-037-0003","1","04/03/2010","0.04900","ppm","42.00","24","100.0000","There are minimum daily summary criteria defined and they are met.","44201","Ozone","0000","Not in a CMSA","3760","Kansas City,MO-KS","29","Missouri","037","Cass","00000","Not in a city","0000","NOT IN AN URBAN AREA","38.759760","-94.579970","RURAL","INDUSTRIAL","314.00"
"29-037-0003","1","04/04/2010","0.05300","ppm","45.00","24","100.0000","There are minimum daily summary criteria defined and they are met.","44201","Ozone","0000","Not in a CMSA","3760","Kansas City,MO-KS","29","Missouri","037","Cass","00000","Not in a city","0000","NOT IN AN URBAN AREA","38.759760","-94.579970","RURAL","INDUSTRIAL","314.00"
"29-037-0003","1","04/05/2010","0.03700","ppm","31.00","24","100.0000","There are minimum daily summary criteria defined and they are met.","44201","Ozone","0000","Not in a CMSA","3760","Kansas City,MO-KS","29","Missouri","037","Cass","00000","Not in a city","0000","NOT IN AN URBAN AREA","38.759760","-94.579970","RURAL","INDUSTRIAL","314.00"
"29-037-0003","1","04/06/2010","0.04300","ppm","36.00","24","100.0000","There are minimum daily summary criteria defined and they are met.","44201","Ozone","0000","Not in a CMSA","3760","Kansas City,MO-KS","29","Missouri","037","Cass","00000","Not in a city","0000","NOT IN AN URBAN AREA","38.759760","-94.579970","RURAL","INDUSTRIAL","314.00"
"29-037-0003","1","04/07/2010","0.03900","ppm","33.00","24","100.0000","There are minimum daily summary criteria defined and they are met.","44201","Ozone","0000","Not in a CMSA","3760","Kansas City,MO-KS","29","Missouri","037","Cass","00000","Not in a city","0000","NOT IN AN URBAN AREA","38.759760","-94.579970","RURAL","INDUSTRIAL","314.00"
"29-037-0003","1","04/08/2010","0.05200","ppm","44.00","24","100.0000","There are minimum daily summary criteria defined and they are met.","44201","Ozone","0000","Not in a CMSA","3760","Kansas City,MO-KS","29","Missouri","037","Cass","00000","Not in a city","0000","NOT IN AN URBAN AREA","38.759760","-94.579970","RURAL","INDUSTRIAL","314.00"
"29-037-0003","1","04/09/2010","0.06300","ppm","61.00","24","100.0000","There are minimum daily summary criteria defined and they are met.","44201","Ozone","0000","Not in a CMSA","3760","Kansas City,MO-KS","29","Missouri","037","Cass","00000","Not in a city","0000","NOT IN AN URBAN AREA","38.759760","-94.579970","RURAL","INDUSTRIAL","314.00"
"29-037-0003","1","04/10/2010","0.06700","ppm","74.00","24","100.0000","There are minimum daily summary criteria defined and they are met.","44201","Ozone","0000","Not in a CMSA","3760","Kansas City,MO-KS","29","Missouri","037","Cass","00000","Not in a city","0000","NOT IN AN URBAN AREA","38.759760","-94.579970","RURAL","INDUSTRIAL","314.00"
"29-037-0003","1","04/11/2010","0.06100","ppm","54.00","24","100.0000","There are minimum daily summary criteria defined and they are met.","44201","Ozone","0000","Not in a CMSA","3760","Kansas City,MO-KS","29","Missouri","037","Cass","00000","Not in a city","0000","NOT IN AN URBAN AREA","38.759760","-94.579970","RURAL","INDUSTRIAL","314.00"
"29-037-0003","1","04/12/2010","0.06700","ppm","74.00","24","100.0000","There are minimum daily summary criteria defined and they are met.","44201","Ozone","0000","Not in a CMSA","3760","Kansas City,MO-KS","29","Missouri","037","Cass","00000","Not in a city","0000","NOT IN AN URBAN AREA","38.759760","-94.579970","RURAL","INDUSTRIAL","314.00"
"29-037-0003","1","04/13/2010","0.06700","ppm","74.00","24","100.0000","There are minimum daily summary criteria defined and they are met.","44201","Ozone","0000","Not in a CMSA","3760","Kansas City,MO-KS","29","Missouri","037","Cass","00000","Not in a city","0000","NOT IN AN URBAN AREA","38.759760","-94.579970","RURAL","INDUSTRIAL","314.00"
"29-037-0003","1","04/14/2010","0.06200","ppm","58.00","24","100.0000","There are minimum daily summary criteria defined and they are met.","44201","Ozone","0000","Not in a CMSA","3760","Kansas City,MO-KS","29","Missouri","037","Cass","00000","Not in a city","0000","NOT IN AN URBAN AREA","38.759760","-94.579970","RURAL","INDUSTRIAL","314.00"
"29-037-0003","1","04/15/2010","0.05300","ppm","45.00","24","100.0000","There are minimum daily summary criteria defined and they are met.","44201","Ozone","0000","Not in a CMSA","3760","Kansas City,MO-KS","29","Missouri","037","Cass","00000","Not in a city","0000","NOT IN AN URBAN AREA","38.759760","-94.579970","RURAL","INDUSTRIAL","314.00"
"29-037-0003","1","04/16/2010","0.03100","ppm","26.00","24","100.0000","There are minimum daily summary criteria defined and they are met.","44201","Ozone","0000","Not in a CMSA","3760","Kansas City,MO-KS","29","Missouri","037","Cass","00000","Not in a city","0000","NOT IN AN URBAN AREA","38.759760","-94.579970","RURAL","INDUSTRIAL","314.00"
"29-037-0003","1","04/17/2010","0.05200","ppm","44.00","24","100.0000","There are minimum daily summary criteria defined and they are met.","44201","Ozone","0000","Not in a CMSA","3760","Kansas City,MO-KS","29","Missouri","037","Cass","00000","Not in a city","0000","NOT IN AN URBAN AREA","38.759760","-94.579970","RURAL","INDUSTRIAL","314.00"
"29-037-0003","1","04/18/2010","0.05200","ppm","44.00","24","100.0000","There are minimum daily summary criteria defined and they are met.","44201","Ozone","0000","Not in a CMSA","3760","Kansas City,MO-KS","29","Missouri","037","Cass","00000","Not in a city","0000","NOT IN AN URBAN AREA","38.759760","-94.579970","RURAL","INDUSTRIAL","314.00"
"29-037-0003","1","04/19/2010","0.05900","ppm","50.00","24","100.0000","There are minimum daily summary criteria defined and they are met.","44201","Ozone","0000","Not in a CMSA","3760","Kansas City,MO-KS","29","Missouri","037","Cass","00000","Not in a city","0000","NOT IN AN URBAN AREA","38.759760","-94.579970","RURAL","INDUSTRIAL","314.00"
"29-037-0003","1","04/20/2010","0.06200","ppm","58.00","24","100.0000","There are minimum daily summary criteria defined and they are met.","44201","Ozone","0000","Not in a CMSA","3760","Kansas City,MO-KS","29","Missouri","037","Cass","00000","Not in a city","0000","NOT IN AN URBAN AREA","38.759760","-94.579970","RURAL","INDUSTRIAL","314.00"
"29-037-0003","1","04/21/2010","0.05800","ppm","49.00","24","100.0000","There are minimum daily summary criteria defined and they are met.","44201","Ozone","0000","Not in a CMSA","3760","Kansas City,MO-KS","29","Missouri","037","Cass","00000","Not in a city","0000","NOT IN AN URBAN AREA","38.759760","-94.579970","RURAL","INDUSTRIAL","314.00"
