Date,AQS_SITE_ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CSA_CODE,CSA_NAME,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
4/1/2013,29-037-0003,1,0.045,ppm,38,24,100,44201,Ozone,312,"Kansas City-Overland Park-Kansas City, MO-KS",28140,"Kansas City, MO-KS",29,Missouri,37,Cass,38.75976,-94.57997
4/2/2013,29-037-0003,1,0.05,ppm,42,24,100,44201,Ozone,312,"Kansas City-Overland Park-Kansas City, MO-KS",28140,"Kansas City, MO-KS",29,Missouri,37,Cass,38.75976,-94.57997
4/3/2013,29-037-0003,1,0.052,ppm,44,24,100,44201,Ozone,312,"Kansas City-Overland Park-Kansas City, MO-KS",28140,"Kansas City, MO-KS",29,Missouri,37,Cass,38.75976,-94.57997
4/4/2013,29-037-0003,1,0.059,ppm,50,24,100,44201,Ozone,312,"Kansas City-Overland Park-Kansas City, MO-KS",28140,"Kansas City, MO-KS",29,Missouri,37,Cass,38.75976,-94.57997
4/5/2013,29-037-0003,1,0.058,ppm,49,24,100,44201,Ozone,312,"Kansas City-Overland Park-Kansas City, MO-KS",28140,"Kansas City, MO-KS",29,Missouri,37,Cass,38.75976,-94.57997
4/6/2013,29-037-0003,1,0.052,ppm,44,24,100,44201,Ozone,312,"Kansas City-Overland Park-Kansas City, MO-KS",28140,"Kansas City, MO-KS",29,Missouri,37,Cass,38.75976,-94.57997
4/7/2013,29-037-0003,1,0.047,ppm,40,24,100,44201,Ozone,312,"Kansas City-Overland Park-Kansas City, MO-KS",28140,"Kansas City, MO-KS",29,Missouri,37,Cass,38.75976,-94.57997
4/8/2013,29-037-0003,1,0.036,ppm,31,24,100,44201,Ozone,312,"Kansas City-Overland Park-Kansas City, MO-KS",28140,"Kansas City, MO-KS",29,Missouri,37,Cass,38.75976,-94.57997
4/9/2013,29-037-0003,1,0.036,ppm,31,24,100,44201,Ozone,312,"Kansas City-Overland Park-Kansas City, MO-KS",28140,"Kansas City, MO-KS",29,Missouri,37,Cass,38.75976,-94.57997
4/10/2013,29-037-0003,1,0.032,ppm,27,24,100,44201,Ozone,312,"Kansas City-Overland Park-Kansas City, MO-KS",28140,"Kansas City, MO-KS",29,Missouri,37,Cass,38.75976,-94.57997
4/11/2013,29-037-0003,1,0.04,ppm,34,24,100,44201,Ozone,312,"Kansas City-Overland Park-Kansas City, MO-KS",28140,"Kansas City, MO-KS",29,Missouri,37,Cass,38.75976,-94.57997
4/12/2013,29-037-0003,1,0.046,ppm,39,24,100,44201,Ozone,312,"Kansas City-Overland Park-Kansas City, MO-KS",28140,"Kansas City, MO-KS",29,Missouri,37,Cass,38.75976,-94.57997
4/13/2013,29-037-0003,1,0.047,ppm,40,24,100,44201,Ozone,312,"Kansas City-Overland Park-Kansas City, MO-KS",28140,"Kansas City, MO-KS",29,Missouri,37,Cass,38.75976,-94.57997
4/14/2013,29-037-0003,1,0.055,ppm,47,24,100,44201,Ozone,312,"Kansas City-Overland Park-Kansas City, MO-KS",28140,"Kansas City, MO-KS",29,Missouri,37,Cass,38.75976,-94.57997
4/15/2013,29-037-0003,1,0.032,ppm,27,24,100,44201,Ozone,312,"Kansas City-Overland Park-Kansas City, MO-KS",28140,"Kansas City, MO-KS",29,Missouri,37,Cass,38.75976,-94.57997
4/16/2013,29-037-0003,1,0.036,ppm,31,24,100,44201,Ozone,312,"Kansas City-Overland Park-Kansas City, MO-KS",28140,"Kansas City, MO-KS",29,Missouri,37,Cass,38.75976,-94.57997
4/17/2013,29-037-0003,1,0.025,ppm,21,24,100,44201,Ozone,312,"Kansas City-Overland Park-Kansas City, MO-KS",28140,"Kansas City, MO-KS",29,Missouri,37,Cass,38.75976,-94.57997
4/18/2013,29-037-0003,1,0.038,ppm,32,24,100,44201,Ozone,312,"Kansas City-Overland Park-Kansas City, MO-KS",28140,"Kansas City, MO-KS",29,Missouri,37,Cass,38.75976,-94.57997
4/19/2013,29-037-0003,1,0.045,ppm,38,24,100,44201,Ozone,312,"Kansas City-Overland Park-Kansas City, MO-KS",28140,"Kansas City, MO-KS",29,Missouri,37,Cass,38.75976,-94.57997
