Title:,Missouri EPHT Asthma,
Data selected in addition to rows and columns below:,Patient Type: Inpatient; Single Year(s): 2015 2013; ,,
Statistics:,Count,,
Zip / ZCTA,,,
51640,0,,
52542,0,,
52573,0,,
52626,0,,
63005,20,,
63010,53,,
63011,34,,
63012,27,,
63013,x,,
63014,x,,
63015,x,,
63016,13,,
63017,38,,
63019,7,,
63020,30,,
63021,51,,
63023,9,,
63025,5,,
63026,68,,
63028,32,,
63030,0,,
63031,140,,
63033,155,,
63034,73,,
63036,x,,
63037,x,,
63038,5,,
63039,x,,
63040,x,,
63041,0,,
63042,77,,
63043,38,,
63044,29,,
63045,0,,
63047,0,,
63048,5,,
63049,30,,
63050,16,,
63051,22,,
63052,43,,
63053,0,,
63055,x,,
63056,x,,
63057,x,,
63060,x,,
63061,0,,
63068,x,,
63069,23,,
63070,16,,
63071,x,,
63072,7,,
63073,x,,
63074,76,,
63077,19,,
63079,0,,
63080,28,,
63084,21,,
63087,x,,
63088,17,,
63089,12,,
63090,15,,
63091,x,,
63101,10,,
63102,14,,
63103,43,,
63104,86,,
63105,8,,
63106,140,,
63107,139,,
63108,62,,
63109,46,,
63110,51,,
63111,88,,
63112,140,,
63113,142,,
63114,147,,
63115,224,,
63116,147,,
63117,17,,
63118,177,,
63119,49,,
63120,105,,
63121,181,,
63122,51,,
63123,76,,
63124,12,,
63125,51,,
63126,23,,
63127,5,,
63128,40,,
63129,54,,
63130,85,,
63131,15,,
63132,46,,
63133,71,,
63134,85,,
63135,121,,
63136,356,,
63137,131,,
63138,133,,
63139,33,,
63140,0,,
63141,7,,
63143,27,,
63144,7,,
63146,48,,
63147,112,,
63301,52,,
63303,47,,
63304,40,,
63330,0,,
63332,x,,
63333,x,,
63334,14,,
63336,x,,
63339,x,,
63341,x,,
63343,x,,
63344,0,,
63345,0,,
63347,x,,
63348,x,,
63349,x,,
63350,x,,
63351,x,,
63352,0,,
63353,x,,
63357,x,,
63359,x,,
63361,x,,
63362,13,,
63363,x,,
63366,69,,
63367,10,,
63368,47,,
63369,x,,
63370,0,,
63373,x,,
63376,95,,
63377,x,,
63379,23,,
63381,0,,
63382,5,,
63383,17,,
63384,0,,
63385,49,,
63386,x,,
63387,0,,
63388,x,,
63389,18,,
63390,13,,
63401,40,,
63430,x,,
63431,0,,
63432,0,,
63433,0,,
63434,x,,
63435,x,,
63436,0,,
63437,x,,
63438,0,,
63439,0,,
63440,x,,
63441,0,,
63443,0,,
63445,6,,
63446,0,,
63447,x,,
63448,0,,
63450,0,,
63451,0,,
63452,x,,
63453,0,,
63454,0,,
63456,12,,
63457,0,,
63458,0,,
63459,x,,
63460,0,,
63461,7,,
63462,x,,
63463,0,,
63464,0,,
63465,0,,
63467,0,,
63468,6,,
63469,0,,
63471,x,,
63472,x,,
63473,0,,
63474,0,,
63501,25,,
63530,0,,
63531,0,,
63532,5,,
63533,x,,
63534,x,,
63535,0,,
63536,0,,
63537,x,,
63538,0,,
63539,0,,
63540,0,,
63541,x,,
63543,0,,
63544,0,,
63545,x,,
63546,x,,
63547,x,,
63548,x,,
63549,0,,
63551,0,,
63552,20,,
63555,0,,
63556,7,,
63557,0,,
63558,0,,
63559,x,,
63560,x,,
63561,0,,
63563,x,,
63565,10,,
63566,0,,
63567,x,,
63601,30,,
63620,0,,
63621,x,,
63622,x,,
63623,x,,
63624,x,,
63625,0,,
63626,x,,
63627,x,,
63628,18,,
63629,x,,
63630,13,,
63631,0,,
63633,0,,
63636,0,,
63637,x,,
63638,6,,
63640,39,,
63645,18,,
63648,5,,
63650,x,,
63653,5,,
63654,0,,
63655,x,,
63656,0,,
63660,x,,
63662,0,,
63663,x,,
63664,14,,
63665,0,,
63666,0,,
63670,14,,
63673,x,,
63674,0,,
63675,0,,
63701,40,,
63703,10,,
63730,x,,
63732,0,,
63735,x,,
63736,x,,
63738,0,,
63739,x,,
63740,x,,
63742,0,,
63743,x,,
63744,0,,
63745,0,,
63746,0,,
63747,0,,
63748,0,,
63750,0,,
63751,x,,
63755,13,,
63758,0,,
