Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/11,AQS,170010007,1,0.033,ppm,31,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
1/2/11,AQS,170010007,1,0.035,ppm,32,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
1/3/11,AQS,170010007,1,0.029,ppm,27,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
1/4/11,AQS,170010007,1,0.031,ppm,29,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
1/5/11,AQS,170010007,1,0.032,ppm,30,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
1/6/11,AQS,170010007,1,0.031,ppm,29,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
1/7/11,AQS,170010007,1,0.034,ppm,31,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
1/8/11,AQS,170010007,1,0.03,ppm,28,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
1/9/11,AQS,170010007,1,0.028,ppm,26,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
1/10/11,AQS,170010007,1,0.028,ppm,26,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
1/11/11,AQS,170010007,1,0.029,ppm,27,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
1/12/11,AQS,170010007,1,0.03,ppm,28,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
1/13/11,AQS,170010007,1,0.028,ppm,26,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
1/14/11,AQS,170010007,1,0.027,ppm,25,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
1/15/11,AQS,170010007,1,0.034,ppm,31,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
1/16/11,AQS,170010007,1,0.032,ppm,30,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
