Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
4/1/15,AQS,171190008,1,0.05,ppm,46,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
4/2/15,AQS,171190008,1,0.04,ppm,37,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
4/3/15,AQS,171190008,1,0.035,ppm,32,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
4/4/15,AQS,171190008,1,0.043,ppm,40,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
4/5/15,AQS,171190008,1,0.046,ppm,43,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
4/6/15,AQS,171190008,1,0.026,ppm,24,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
4/7/15,AQS,171190008,1,0.027,ppm,25,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
4/8/15,AQS,171190008,1,0.028,ppm,26,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
4/9/15,AQS,171190008,1,0.033,ppm,31,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
4/10/15,AQS,171190008,1,0.048,ppm,44,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
4/11/15,AQS,171190008,1,0.049,ppm,45,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
4/12/15,AQS,171190008,1,0.052,ppm,48,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
4/13/15,AQS,171190008,1,0.048,ppm,44,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
4/14/15,AQS,171190008,1,0.049,ppm,45,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
4/15/15,AQS,171190008,1,0.047,ppm,44,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
4/16/15,AQS,171190008,1,0.05,ppm,46,CLARA BARTON SCHOOL,17,100,44201,Ozone,41180,"St. Louis, MO-IL",17,Illinois,119,Madison,38.89018605,-90.14803114
