"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CSA_CODE","CSA_NAME","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/01/2011","29-037-0003","1","0.04400","ppm","37.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","037","Cass","38.759760","-94.579970"
"03/02/2011","29-037-0003","1","0.03500","ppm","30.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","037","Cass","38.759760","-94.579970"
"03/03/2011","29-037-0003","1","0.05400","ppm","46.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","037","Cass","38.759760","-94.579970"
"03/04/2011","29-037-0003","1","0.03800","ppm","32.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","037","Cass","38.759760","-94.579970"
"03/05/2011","29-037-0003","1","0.03300","ppm","28.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","037","Cass","38.759760","-94.579970"
"03/06/2011","29-037-0003","1","0.03400","ppm","29.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","037","Cass","38.759760","-94.579970"
"03/07/2011","29-037-0003","1","0.03300","ppm","28.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","037","Cass","38.759760","-94.579970"
"03/08/2011","29-037-0003","1","0.02600","ppm","22.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","037","Cass","38.759760","-94.579970"
"03/09/2011","29-037-0003","1","0.03600","ppm","31.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","037","Cass","38.759760","-94.579970"
"03/10/2011","29-037-0003","1","0.04200","ppm","36.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","037","Cass","38.759760","-94.579970"
"03/11/2011","29-037-0003","1","0.06000","ppm","51.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","037","Cass","38.759760","-94.579970"
"03/12/2011","29-037-0003","1","0.04200","ppm","36.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","037","Cass","38.759760","-94.579970"
"03/13/2011","29-037-0003","1","0.03300","ppm","28.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","037","Cass","38.759760","-94.579970"
"03/14/2011","29-037-0003","1","0.03700","ppm","31.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","037","Cass","38.759760","-94.579970"
