Title:,Missouri EPHT Asthma,
Data selected in addition to rows and columns below:,Patient Type: Inpatient; Single Year(s): 2015; ,,
Statistics:,Count,,
Zip / ZCTA,,,
51640,0,,
52542,0,,
52573,0,,
52626,0,,
63005,10,,
63010,22,,
63011,12,,
63012,20,,
63013,x,,
63014,0,,
63015,0,,
63016,7,,
63017,22,,
63019,x,,
63020,8,,
63021,28,,
63023,x,,
63025,x,,
63026,29,,
63028,12,,
63030,0,,
63031,66,,
63033,75,,
63034,22,,
63036,0,,
63037,x,,
63038,x,,
63039,x,,
63040,x,,
63041,0,,
63042,35,,
63043,21,,
63044,18,,
63045,0,,
63047,0,,
63048,x,,
63049,10,,
63050,5,,
63051,9,,
63052,15,,
63053,0,,
63055,x,,
63056,0,,
63057,x,,
63060,x,,
63061,0,,
63068,x,,
63069,11,,
63070,9,,
63071,x,,
63072,x,,
63073,0,,
63074,41,,
63077,8,,
63079,0,,
63080,12,,
63084,8,,
63087,0,,
63088,10,,
63089,x,,
63090,8,,
63091,x,,
63101,6,,
63102,7,,
63103,28,,
63104,32,,
63105,x,,
63106,76,,
63107,56,,
63108,27,,
63109,25,,
63110,26,,
63111,39,,
63112,61,,
63113,78,,
63114,71,,
63115,92,,
63116,61,,
63117,9,,
63118,96,,
63119,22,,
63120,47,,
63121,87,,
63122,29,,
63123,35,,
63124,6,,
63125,25,,
63126,11,,
63127,x,,
63128,16,,
63129,20,,
63130,34,,
63131,x,,
63132,20,,
63133,38,,
63134,42,,
63135,59,,
63136,172,,
63137,72,,
63138,66,,
63139,13,,
63140,0,,
63141,x,,
63143,10,,
63144,x,,
63146,25,,
63147,45,,
63301,23,,
63303,25,,
63304,18,,
63330,0,,
63332,0,,
63333,0,,
63334,5,,
63336,x,,
63339,x,,
63341,0,,
63343,0,,
63344,0,,
63345,0,,
63347,x,,
63348,x,,
63349,0,,
63350,x,,
63351,0,,
63352,0,,
63353,x,,
63357,x,,
63359,x,,
63361,x,,
63362,x,,
63363,0,,
63366,32,,
63367,7,,
63368,26,,
63369,x,,
63370,0,,
63373,0,,
63376,47,,
63377,x,,
63379,12,,
63381,0,,
63382,x,,
63383,8,,
63384,0,,
63385,27,,
63386,x,,
63387,0,,
63388,x,,
63389,12,,
63390,x,,
63401,17,,
63430,x,,
63431,0,,
63432,0,,
63433,0,,
63434,x,,
63435,x,,
63436,0,,
63437,x,,
63438,0,,
63439,0,,
63440,0,,
63441,0,,
63443,0,,
63445,x,,
63446,0,,
63447,0,,
63448,0,,
63450,0,,
63451,0,,
63452,x,,
63453,0,,
63454,0,,
63456,8,,
63457,0,,
63458,0,,
63459,0,,
63460,0,,
63461,0,,
63462,x,,
63463,0,,
63464,0,,
63465,0,,
63467,0,,
63468,x,,
63469,0,,
63471,x,,
63472,0,,
63473,0,,
63474,0,,
63501,15,,
63530,0,,
63531,0,,
63532,x,,
63533,0,,
63534,0,,
63535,0,,
63536,0,,
63537,x,,
63538,0,,
63539,0,,
63540,0,,
63541,x,,
63543,0,,
63544,0,,
63545,x,,
63546,x,,
63547,x,,
63548,x,,
63549,0,,
63551,0,,
63552,13,,
63555,0,,
63556,x,,
63557,0,,
63558,0,,
63559,x,,
63560,0,,
63561,0,,
63563,x,,
63565,5,,
63566,0,,
63567,0,,
63601,12,,
63620,0,,
63621,x,,
63622,x,,
63623,x,,
63624,x,,
63625,0,,
63626,x,,
63627,x,,
63628,9,,
63629,x,,
63630,5,,
63631,0,,
63633,0,,
63636,0,,
63637,0,,
63638,x,,
63640,11,,
63645,7,,
63648,x,,
63650,x,,
63653,x,,
63654,0,,
63655,x,,
63656,0,,
63660,x,,
63662,0,,
63663,0,,
63664,6,,
63665,0,,
63666,0,,
63670,5,,
63673,0,,
63674,0,,
63675,0,,
63701,19,,
63703,5,,
63730,x,,
63732,0,,
63735,x,,
63736,x,,
63738,0,,
63739,x,,
63740,x,,
63742,0,,
63743,0,,
63744,0,,
63745,0,,
63746,0,,
63747,0,,
63748,0,,
63750,0,,
63751,x,,
63755,5,,
63758,0,,
63760,0,,
63763,0,,
63764,0,,
63766,0,,
63767,0,,
63769,0,,
63770,0,,
63771,x,,
63774,0,,
63775,12,,
63780,x,,
63781,x,,
63782,0,,
63783,0,,
63784,x,,
63785,x,,
63787,0,,
63801,24,,
63820,x,,
63821,0,,
63822,x,,
63823,x,,
63824,0,,
63825,x,,
63826,0,,
63827,x,,
63828,0,,
63829,x,,
63830,9,,
63833,0,,
63834,7,,
63837,0,,
63839,0,,
63841,6,,
63845,7,,
63846,x,,
63847,x,,
63848,x,,
63849,0,,
63851,7,,
63852,0,,
63853,0,,
63855,x,,
63857,13,,
63860,0,,
63862,x,,
63863,x,,
63866,0,,
63867,0,,
63868,0,,
63869,6,,
63870,x,,
63873,x,,
63874,0,,
63876,x,,
63877,x,,
63878,x,,
63879,0,,
63880,0,,
63882,0,,
63901,34,,
63932,0,,
63933,5,,
63934,x,,
63935,5,,
63936,0,,
63937,x,,
63939,x,,
63940,x,,
63941,0,,
63942,x,,
63943,x,,
63944,x,,
63945,0,,
63951,x,,
63952,0,,
63953,0,,
63954,0,,
63955,0,,
63956,x,,
63957,x,,
63960,x,,
63961,x,,
63962,0,,
63964,0,,
63965,x,,
63966,0,,
63967,x,,
64001,x,,
64011,x,,
64012,32,,
64014,15,,
64015,16,,
64016,6,,
64017,x,,
64018,0,,
64019,x,,
64020,x,,
64021,0,,
64022,0,,
64024,15,,
64029,11,,
64030,40,,
64034,x,,
64035,0,,
64036,0,,
64037,9,,
64040,6,,
64048,x,,
64050,34,,
64052,36,,
64053,14,,
64054,6,,
64055,42,,
64056,12,,
64057,10,,
64058,6,,
64060,11,,
64061,x,,
64062,5,,
64063,18,,
64064,12,,
64065,0,,
64066,0,,
64067,7,,
64068,25,,
64070,5,,
64071,x,,
64072,0,,
